created_at,id,text,retweet_count,favorite_count
Wed Oct 21 21:39:05 +0000 2020,1319030472417181697,"Obrigado @LulaOficial ,@dilmabr e @FUP_Brasil https://t.co/vyuDP2VP89",0,0
Wed Oct 21 21:37:50 +0000 2020,1319030157018005506,"Temos que estar atentos e fortes, todo dia Bolsonaro cria uma polêmica, não importa que mais um ministro seja enquadrado, o importante para ele é que não se comente o preço do óleo de soja , do desemprego, da corrupção desenfreada , do sucateamento da Petrobras, ...",1,2
Wed Oct 21 21:36:58 +0000 2020,1319029938134147076,"""Humberto Costa é suspeito de ter recebido propina oriunda de contratos superfaturados da Petrobras com a Odebrecht.""

Humberto Costa pede que Kassio proponha fim da transmissão dos julgamentos pela TV Justiça https://t.co/AmANGG7Wg8",0,2
Wed Oct 21 21:36:56 +0000 2020,1319029930332721154,"Live Prejuízos da saída da Petrobras na Bacia de Campos, com @mariagretnagime: “Quando se privatiza, o lucro deixa de ir para o Estado e vai para uma empresa privada, para outro país. Que tipo de governante faz isso?  ”. Acompanhe aqui: https://t.co/UEN8kMKxTV #PetrobrasFica",2,3
Wed Oct 21 21:33:40 +0000 2020,1319029109641695234,"Live Prejuízos da saída da Petrobras na Bacia de Campos, com @mariagretnagime: “Conheço de perto o trabalho de luta do #sindipetronf por causa do pai do meu filho, petroleiro, toda a família dele ascendeu”. Acompanhe aqui: https://t.co/UEN8kMKxTV #sindipetronf #PetrobrasFica",0,0
Wed Oct 21 21:30:34 +0000 2020,1319028326728609797,"Live Prejuízos da saída da Petrobras na Bacia de Campos, com @mariagretnagime: “O PTinder é mais orgânico e tem mais interação que os outros aplicativos de encontros. E sem publicidade. Foi uma boa ideia”. Acompanhe aqui: https://t.co/UEN8kMKxTV #sindipetronf #PetrobrasFica",0,0
Wed Oct 21 21:28:55 +0000 2020,1319027914084655105,"Live Prejuízos da saída da Petrobras na Bacia de Campos, com @mariagretnagime: “Comecei com o Facebook. Em 9 meses, eram 5 mil pessoas. Em 2 anos, 2 milhões. No Instagram, em 6 meses, tem 17 mil e muitos casamentos”. Acompanhe https://t.co/UEN8kMKxTV #sindipetronf #PetrobrasFica",0,0
Wed Oct 21 21:26:39 +0000 2020,1319027341717344265,Evo Morales simplesmente mandou o exército boliviano ocupar a Petrobras https://t.co/ZiDxB6IVqS,0,0
Wed Oct 21 21:25:17 +0000 2020,1319027000087138305,"Nova alta no preço do gás de cozinha. E nos supermercados alta já é a maior em 26 anos.

Inflação, dólar alto, recessão histórica, cortes na saúde e educação, florestas queimando, vergonha internacional...

É mole ou quer mais? Fora Bolsonaro. Já!
https://t.co/6EgedNgJiy",16,52
Wed Oct 21 21:20:19 +0000 2020,1319025746816499720,Eu lembro da época em que a Bolívia nacionalizou as instalações da Petrobrás na cara dura. https://t.co/kfrU5yZ45O,0,0
Wed Oct 21 21:19:33 +0000 2020,1319025555933712390,"Live Prejuízos da saída da Petrobras na Bacia de Campos, com @mariagretnagime: “Na quarentena, voltei para a página. É muita gente e a galera casa mesmo. E eu exigo ir aos casamentos”. Acompanhe aqui: https://t.co/UEN8kMKxTV #sindipetronf #PetrobrasFica",0,0
Wed Oct 21 21:17:21 +0000 2020,1319025003611017216,"Live Prejuízos da saída da Petrobras na Bacia de Campos, com @mariagretnagime: “No PTinder, veio muita gente. Mais de 600 mensagens inbox por dia”, ao falar do sucesso da iniciativa. Acompanhe aqui: https://t.co/UEN8kMKxTV #sindipetronf #PetrobrasFica",0,0
Wed Oct 21 21:15:17 +0000 2020,1319024480451166208,"Live Prejuízos da saída da Petrobras na Bacia de Campos, com @mariagretnagime: “O impacto da Petrobras se dá na economia da cidade e famílias inteiras puderam estudar por causas dos direitos trabalhistas”. Acompanhe aqui: https://t.co/UEN8kMKxTV #sindipetronf #PetrobrasFica",0,0
Wed Oct 21 21:10:58 +0000 2020,1319023396886351872,"Começou a live Prejuízos da saída da Petrobras na Bacia de Campos com a advogada Maria Goretti @mariagretnagime, criadora do PTinder. Do #sindipetronf, participa o coordenador @tadeuporto. Assista: https://t.co/UEN8kMKxTV #PetrobrasFica",0,0
Wed Oct 21 21:10:34 +0000 2020,1319023296378187776,Pela primeira vez em trinta anos a Petrobrás não e saqueada. https://t.co/DUPfTCab47,0,1
Wed Oct 21 21:07:25 +0000 2020,1319022500760739847,PETROBRÁS POSTERGARÁ PARTE DE PARADAS PROGRAMADAS DE SUAS PLATAFORMAS PARA 2021: https://t.co/LFP05BBRVK,0,0
Wed Oct 21 21:01:34 +0000 2020,1319021029088518146,"🚨 Hoje tem LIVE 🚨

O tema do Programa Aplicação de hoje é “Operações Com Opções em Petrobras”.
 
Assista à LIVE e aprenda tecnicamente como montar estratégias em opções e lucrar com a expectativa de alta desse ativo.

https://t.co/jgXDuamuYR 

Às 19h no Youtube.",0,0
Wed Oct 21 21:01:32 +0000 2020,1319021022926884864,"Mesmo na tempestade, o sol está brilhando para a Petrobras, diz UBS https://t.co/ir2PfMFnlr",0,0
Wed Oct 21 20:59:40 +0000 2020,1319020552049360896,"SEM DESVIOS... SEM CORRUPÇÃO....

Petrobras eleva previsão de produção em 2020 - 
 https://t.co/mSnDEJidAJ via @renovamidia",5,11
Wed Oct 21 20:57:24 +0000 2020,1319019979942039559,"Mesmo na tempestade, o sol está brilhando para a Petrobras, diz UBS #PETR4 #petrobras #petróleo #empresas #ações #ubs
https://t.co/hdwwSLFMSm",0,1
Wed Oct 21 20:57:05 +0000 2020,1319019902552911873,"Confira o artigo de Francis Bogossian, que aborda projetos de sucesso da Petrobras e fala sobre  seu modelo de contratação que deve ser mantido, valorizando Qualidade, Saúde, Segurança e Respeito ao Meio Ambiente e cumprimento dos prazos contratuais.
https://t.co/Ljc1Jk4YTi",0,0
Wed Oct 21 20:55:00 +0000 2020,1319019376478179336,"&gt;@EInvestidor Petrobras (PETR3 e PETR4): Goldman Sachs projeta valorização de até 109,1% https://t.co/f19um9tQuZ",1,16
Wed Oct 21 20:50:42 +0000 2020,1319018297300553735,Brasil-sil-sil! https://t.co/GShfbJZJ8G,2,3
Wed Oct 21 20:47:43 +0000 2020,1319017543722520576,"Petrobras tem aumento de 32% na produção de petróleo
Saiba mais em https://t.co/rh0tWezh9C...
https://t.co/rh0tWezh9C",0,0
Wed Oct 21 20:43:23 +0000 2020,1319016456219205632,"🇧🇷🥳💲

Petrobras eleva previsão de produção em 2020 - RENOVA Mídia https://t.co/Kontu3N4o6 via @renovamidia",0,0
Wed Oct 21 20:42:42 +0000 2020,1319016282172379136,"Apesar do ano terrível para a indústria petrolífera mundo afora, a estatal brasileira Petrobras revisou para cima a sua projeção de produção de óleo e gás. 

https://t.co/CySKrIqp0N",0,0
